term_code,term_name,acronyms,parent_term_code,domain_code,owner_upn,additional_owners_upn,definition,status,is_cde,industry_origin,resources,bound_assets
GT-MTTR,Mean Time To Repair,MTTR,,DOM-SVCDEL,Ci.Zhu@enercare.ca,Shruthi.Srinivas@enercare.ca,Average elapsed time from service request creation to completion. Reported per equipment type and per service zone.,Published,0,Service Industry,"https://www.enercare.ca/about/governance/kpi#mttr","BrookfieldEnercare/fct_service_request"
GT-TRUCKROLL,Truck Roll,,,DOM-SVCDEL,Ci.Zhu@enercare.ca,Shruthi.Srinivas@enercare.ca,A physical technician dispatch to a service address. Carries a cost-recovery impact and SLA window.,Published,0,Utility,"https://www.enercare.ca/about/governance/glossary#truck-roll","dbo.service_requests"
GT-SLA,Service Level Agreement,SLA,,DOM-SVCDEL,Ci.Zhu@enercare.ca,Shruthi.Srinivas@enercare.ca,The contracted or policy-defined response and resolution targets per service-request priority and service zone.,Published,0,Generic,"https://www.enercare.ca/about/governance/glossary#sla","dbo.service_zones.sla_target_minutes"
GT-EQUIP,Equipment Registry,,,DOM-SVCDEL,Ci.Zhu@enercare.ca,Shruthi.Srinivas@enercare.ca,The installed-base record of all furnaces water heaters and air conditioners under contract. Includes serial_number ownership_type and warranty_expiry.,Published,0,Utility,"https://www.enercare.ca/about/governance/glossary#equipment","dbo.equipment_registry"
GT-CONTRACT,Contract,,,DOM-REVCON,Ci.Zhu@enercare.ca,Rupal.Solanki@enercare.ca,A revenue agreement binding a customer to a recurring product. Carries auto_renew start_date end_date and monthly_amount.,Published,1,Generic,"https://www.enercare.ca/about/governance/glossary#contract","dbo.contracts"
GT-AUTORENEW,Auto-Renewal,,GT-CONTRACT,DOM-REVCON,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,The contract clause that extends the agreement at term end absent customer cancellation. Subject to Ontario Consumer Protection Act disclosure requirements.,Published,1,Canadian Regulatory,"https://www.ontario.ca/laws/statute/02c30","dbo.contracts.auto_renew"
GT-MRR,Monthly Recurring Revenue,MRR,,DOM-REVCON,Ci.Zhu@enercare.ca,ranbir.singh@enercare.ca,Sum of monthly_amount across all active contracts at a given month boundary. Primary revenue metric for forecast and board reporting.,Published,1,Finance,"https://www.enercare.ca/about/governance/kpi#mrr","BrookfieldEnercare/_Measures/MRR"
GT-ARR,Annual Recurring Revenue,ARR,GT-MRR,DOM-REVCON,Ci.Zhu@enercare.ca,ranbir.singh@enercare.ca,Monthly Recurring Revenue multiplied by 12.,Published,0,Finance,"https://www.enercare.ca/about/governance/kpi#arr","BrookfieldEnercare/_Measures/ARR"
GT-CHURN,Churn Rate,,,DOM-REVCON,Ci.Zhu@enercare.ca,ranbir.singh@enercare.ca,Contract cancellations in a period divided by active contracts at the start of the period. Reported as monthly customer churn and revenue churn.,Published,1,Finance,"https://www.enercare.ca/about/governance/kpi#churn","BrookfieldEnercare/_Measures/Churn Rate"
GT-NETREV,Net Revenue,,,DOM-REVCON,Ci.Zhu@enercare.ca,ranbir.singh@enercare.ca,Billed revenue minus refunds credits and tax amounts. The revenue line used for management reporting.,Published,1,Finance,"https://www.enercare.ca/about/governance/kpi#net-revenue","BrookfieldEnercare/_Measures/Net Revenue"
GT-BILLCYCLE,Billing Cycle,,,DOM-REVCON,Ci.Zhu@enercare.ca,Rupal.Solanki@enercare.ca,The repeating period over which billing transactions are aggregated for a contract. Aligned to billing_frequency on the product record.,Published,0,Generic,"https://www.enercare.ca/about/governance/glossary#billing-cycle","dbo.products.billing_frequency"
GT-OEB,Ontario Energy Board,OEB,,DOM-REVCON,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,The regulator overseeing sub-metering distribution and utility-billing conduct in Ontario. Has reporting obligations for billing-conduct complaints.,Published,0,Canadian Regulatory,"https://www.oeb.ca/","dbo.customer_complaints.regulator_case_ref"
GT-OCPA,Ontario Consumer Protection Act,OCPA,,DOM-REVCON,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,The provincial law governing residential contract auto-renewal disclosure and cancellation rights. Reportable violations carry a regulator_case_ref.,Published,0,Canadian Regulatory,"https://www.ontario.ca/laws/statute/02c30","dbo.contracts.auto_renew;dbo.customer_complaints"
GT-PCISCOPE,PCI Scope,PCI,,DOM-REVCON,Ci.Zhu@enercare.ca,ranbir.singh@enercare.ca,Any object that stores transmits or processes primary account number data. PAN partials such as card_pan_last_4 remain in scope and carry handling restrictions.,Published,1,Finance,"https://www.pcisecuritystandards.org/pci_security/","dbo.billing_transactions.card_pan_last_4"
GT-SIN,Social Insurance Number,SIN,,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,The 9-digit Canadian government identifier issued to working residents. Highly Confidential when stored in full; partial last-4 is Confidential.,Published,1,Canadian Regulatory,"https://www.canada.ca/en/employment-social-development/services/sin.html","dbo.customers.sin_last_4;dbo.employees.sin_full"
GT-PII,Personally Identifiable Information,PII,,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Any data point that alone or in combination can identify a natural person. Includes name email phone DOB SIN address.,Published,0,Generic,"https://www.priv.gc.ca/en/privacy-topics/privacy-laws-in-canada/the-personal-information-protection-and-electronic-documents-act-pipeda/p_principle/principles/p_principle_4/",
GT-GEOPII,Geographic PII,,GT-PII,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Location data that identifies a person's residence or workplace. Coordinates beyond FSA precision are Confidential.,Published,0,Generic,"https://www.priv.gc.ca/en/privacy-topics/technology/online-privacy-tracking-cookies/geolocation/","dbo.service_accounts.latitude;dbo.service_accounts.longitude"
GT-DSAR,Data Subject Access Request,DSAR,,DOM-CUSTOPS,Victoria.Tan@enercare.ca,Ci.Zhu@enercare.ca,A formal customer request to receive or delete personal data held by Enercare. PIPEDA mandates response within thirty calendar days.,Published,0,Canadian Regulatory,"https://www.priv.gc.ca/en/privacy-topics/access-to-personal-information/02_05_d_27/",
GT-RETPOLICY,Data Retention Policy,,,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,The rule defining how long a class of data is retained before purge. Customer financial records retained seven years; consent withdrawal records retained ten years.,Published,0,Canadian Regulatory,"https://www.enercare.ca/about/governance/retention-policy",
GT-PURPOSE,Purpose of Use,,,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,The documented business reason for accessing a class of data. Drives access audit and downstream reporting in audit_data_access.,Published,0,Generic,"https://www.enercare.ca/about/governance/purpose-of-use","dbo.audit_data_access.purpose_of_use"
GT-AUDIT,Data Access Audit,,,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,The record of who accessed what data when and for what purpose of use. Material for privacy incident investigation.,Published,0,Generic,"https://www.enercare.ca/about/governance/audit","dbo.audit_data_access"
